"Ticker Symbol","Date","Divide(Momentum(SystemEquity(MACD Crossover System),1),10000)"
"ES_0011N",11/16/2004,-0.0068
"ES_0011N",11/17/2004,5.439941E-03
"ES_0011N",11/18/2004,6.40039E-04
"ES_0011N",11/19/2004,-1.015996E-02
"ES_0011N",11/22/2004,4.479981E-03
"ES_0011N",11/23/2004,1.12002E-03
"ES_0011N",11/24/2004,2.07998E-03
"ES_0011N",11/26/2004,-8.799804E-04
"ES_0011N",11/29/2004,-3.840039E-03
"ES_0011N",11/30/2004,-1.520019E-03
"ES_0011N",12/1/2004,1.432002E-02
"ES_0011N",12/2/2004,5.59961E-04
"ES_0011N",12/3/2004,-1.039941E-03
"ES_0011N",12/6/2004,0
"ES_0011N",12/7/2004,-0.0092
"ES_0011N",12/8/2004,5.120019E-03
"ES_0011N",12/9/2004,3.519922E-03
"ES_0011N",12/10/2004,8.800781E-04
"ES_0011N",12/13/2004,8.559961E-03
"ES_0011N",12/14/2004,0.0032
"ES_0011N",12/15/2004,5.59961E-04
"ES_0011N",12/16/2004,-5.59961E-04
"ES_0011N",12/17/2004,-6.559961E-03
"ES_0011N",12/20/2004,3.199219E-04
"ES_0011N",12/21/2004,7.440039E-03
"ES_0011N",12/22/2004,0.0024
"ES_0011N",12/23/2004,5.59961E-04
"ES_0011N",12/27/2004,-2.639941E-03
"ES_0011N",12/28/2004,5.67998E-03
"ES_0011N",12/29/2004,0.0012
"ES_0011N",12/30/2004,-1.840039E-03
"ES_0011N",12/31/2004,-0.0008
"ES_0011N",1/3/2005,-5.919922E-03
"ES_0011N",1/4/2005,-1.164004E-02
"ES_0011N",1/5/2005,0
"ES_0011N",1/6/2005,0
"ES_0011N",1/7/2005,0
"ES_0011N",1/10/2005,0
"ES_0011N",1/11/2005,0
"ES_0011N",1/12/2005,0
"ES_0011N",1/13/2005,0
"ES_0011N",1/14/2005,0
"ES_0011N",1/18/2005,0
"ES_0011N",1/19/2005,0
"ES_0011N",1/20/2005,0
"ES_0011N",1/21/2005,0
"ES_0011N",1/24/2005,0
"ES_0011N",1/25/2005,0
"ES_0011N",1/26/2005,0
"ES_0011N",1/27/2005,0
"ES_0011N",1/28/2005,0
"ES_0011N",1/31/2005,0
"ES_0011N",2/1/2005,0
"ES_0011N",2/2/2005,0
"ES_0011N",2/3/2005,-2.520019E-03
"ES_0011N",2/4/2005,9.92002E-03
"ES_0011N",2/7/2005,-1.040039E-03
"ES_0011N",2/8/2005,0.0012
"ES_0011N",2/9/2005,-7.439942E-03
"ES_0011N",2/10/2005,2.959961E-03
"ES_0011N",2/11/2005,8.32002E-03
"ES_0011N",2/14/2005,-5.59961E-04
"ES_0011N",2/15/2005,3.519922E-03
"ES_0011N",2/16/2005,-1.599609E-04
"ES_0011N",2/17/2005,-0.0076
"ES_0011N",2/18/2005,1.040039E-03
"ES_0011N",2/22/2005,-1.408008E-02
"ES_0011N",2/23/2005,0.0064
"ES_0011N",2/24/2005,0.0064
"ES_0011N",2/25/2005,9.040039E-03
"ES_0011N",2/28/2005,-6.32002E-03
"ES_0011N",3/1/2005,8.32002E-03
"ES_0011N",3/2/2005,-0.0004
"ES_0011N",3/3/2005,2.400391E-04
"ES_0011N",3/4/2005,0.0116
"ES_0011N",3/7/2005,0.0008
"ES_0011N",3/8/2005,-3.760059E-03
"ES_0011N",3/9/2005,-1.095996E-02
"ES_0011N",3/10/2005,0.002
"ES_0011N",3/11/2005,-0.0068
"ES_0011N",3/14/2005,5.359961E-03
"ES_0011N",3/15/2005,-7.52002E-03
"ES_0011N",3/16/2005,-8.559961E-03
"ES_0011N",3/17/2005,1.67998E-03
"ES_0011N",3/18/2005,-3.679981E-03
"ES_0011N",3/21/2005,0
"ES_0011N",3/22/2005,0
"ES_0011N",3/23/2005,0
"ES_0011N",3/24/2005,0
"ES_0011N",3/28/2005,0
"ES_0011N",3/29/2005,0
"ES_0011N",3/30/2005,0
"ES_0011N",3/31/2005,0
"ES_0011N",4/1/2005,0
"ES_0011N",4/4/2005,0
"ES_0011N",4/5/2005,0
"ES_0011N",4/6/2005,0
"ES_0011N",4/7/2005,0
"ES_0011N",4/8/2005,-9.72002E-03
"ES_0011N",4/11/2005,7.998047E-05
"ES_0011N",4/12/2005,5.040039E-03
"ES_0011N",4/13/2005,-1.112002E-02
"ES_0011N",4/14/2005,-7.479981E-03
"ES_0011N",4/15/2005,0
"ES_0011N",4/18/2005,0
"ES_0011N",4/19/2005,0
"ES_0011N",4/20/2005,0
"ES_0011N",4/21/2005,0
"ES_0011N",4/22/2005,0
"ES_0011N",4/25/2005,0
"ES_0011N",4/26/2005,0
"ES_0011N",4/27/2005,0
"ES_0011N",4/28/2005,0
"ES_0011N",4/29/2005,0
"ES_0011N",5/2/2005,0
"ES_0011N",5/3/2005,1.279981E-03
"ES_0011N",5/4/2005,7.360058E-03
"ES_0011N",5/5/2005,-3.200195E-04
"ES_0011N",5/6/2005,-2.960059E-03
"ES_0011N",5/9/2005,5.680078E-03
"ES_0011N",5/10/2005,-9.680078E-03
"ES_0011N",5/11/2005,5.040039E-03
"ES_0011N",5/12/2005,-1.064004E-02
"ES_0011N",5/13/2005,-0.002
"ES_0011N",5/16/2005,8.32002E-03
"ES_0011N",5/17/2005,6.47998E-03
"ES_0011N",5/18/2005,9.280078E-03
"ES_0011N",5/19/2005,0.0036
"ES_0011N",5/20/2005,-8.800781E-04
"ES_0011N",5/23/2005,4.880078E-03
"ES_0011N",5/24/2005,-2.080078E-03
"ES_0011N",5/25/2005,-8.799804E-04
"ES_0011N",5/26/2005,0.0044
"ES_0011N",5/27/2005,1.67998E-03
"ES_0011N",5/31/2005,-6.319922E-03
"ES_0011N",6/1/2005,0.0112
