Ticker Symbol,Date,Strategy 1 (days),Strategy 1 (aggregated p&l),Strategy 2 (days),Strategy 2 (aggregated p&l)
bcd,2/18/2022,4,-0.19%,3,-0.54%
bcd,2/22/2022,5,0.08%,4,-0.26%
bcd,2/23/2022,6,0.06%,5,-0.28%
bcd,2/24/2022,7,0.30%,6,-0.04%
bcd,2/25/2022,8,1.37%,7,1.03%
bcd,2/28/2022,9,0.70%,8,0.36%
bcd,3/1/2022,10,1.06%,9,0.72%
bcd,3/2/2022,11,1.94%,10,1.61%
bcd,3/3/2022,12,1.88%,11,1.54%
bcd,3/4/2022,13,2.40%,12,2.06%
bcd,3/7/2022,14,3.62%,13,3.29%
bcd,3/8/2022,15,4.12%,14,3.79%
bcd,3/9/2022,16,2.23%,15,2.64%
bcd,3/10/2022,0,0.00%,0,0.00%
bcd,3/11/2022,0,0.00%,0,0.00%
bcd,3/14/2022,0,0.00%,0,0.00%
bcd,3/15/2022,0,0.00%,0,0.00%
bcd,3/16/2022,0,0.00%,0,0.00%
bcd,3/17/2022,0,0.00%,0,0.00%
bcd,3/18/2022,0,0.00%,0,0.00%
bcd,3/21/2022,0,0.00%,0,0.00%
bcd,3/22/2022,0,0.00%,0,0.00%
bcd,3/23/2022,0,0.00%,0,0.00%
bcd,3/24/2022,1,0.16%,0,0.00%
bcd,3/25/2022,2,0.25%,0,0.00%
bcd,3/28/2022,3,0.36%,1,0.08%
bcd,3/29/2022,4,0.33%,2,-1.11%
bcd,3/30/2022,5,-0.56%,0,0.00%
bcd,3/31/2022,6,-1.20%,0,0.00%
bcd,4/1/2022,7,-0.36%,0,0.00%
bcd,4/4/2022,8,-0.08%,0,0.00%
bcd,4/5/2022,9,0.53%,0,0.00%
bcd,4/6/2022,10,1.15%,0,0.00%
bcd,4/7/2022,11,1.19%,0,0.00%
bcd,4/8/2022,12,1.38%,1,0.13%
bcd,4/11/2022,13,1.35%,2,0.10%
bcd,4/12/2022,14,1.29%,3,0.05%
