Ticker Symbol,Date,"Divide(Momentum(Avg2(SystemEquity(R%_3),SystemEquity(Long Term)),1),10000)"
CU_0011N,8/3/2010,-0.0024
CU_0011N,8/4/2010,0.0022
CU_0011N,8/5/2010,-0.0001
CU_0011N,8/6/2010,-0.0057
CU_0011N,8/9/2010,0.0020
CU_0011N,8/10/2010,0.0011
CU_0011N,8/11/2010,0.0231
CU_0011N,8/12/2010,0.0042
CU_0011N,8/13/2010,0.0053
CU_0011N,8/16/2010,-0.0042
CU_0011N,8/17/2010,-0.0055
CU_0011N,8/18/2010,0.0013
CU_0011N,8/19/2010,0.0031
CU_0011N,8/20/2010,0.0085
CU_0011N,8/23/2010,0.0022
CU_0011N,8/24/2010,0.0006
CU_0011N,8/25/2010,0.0014
CU_0011N,8/26/2010,-0.0036
CU_0011N,8/27/2010,-0.0022
CU_0011N,8/30/2010,0.0049
CU_0011N,8/31/2010,0.0003
CU_0011N,9/1/2010,-0.0100
CU_0011N,9/2/2010,-0.0012
CU_0011N,9/3/2010,-0.0054
CU_0011N,9/7/2010,0.0067
CU_0011N,9/8/2010,-0.0008
CU_0011N,9/9/2010,0.0009
CU_0011N,9/10/2010,-0.0016
CU_0011N,9/13/2010,-0.0114
CU_0011N,9/14/2010,-0.0056
CU_0011N,9/15/2010,0.0000
CU_0011N,9/16/2010,0.0000
CU_0011N,9/17/2010,0.0000
CU_0011N,9/20/2010,0.0000
CU_0011N,9/21/2010,0.0000
CU_0011N,9/22/2010,0.0000
CU_0011N,9/23/2010,0.0000
CU_0011N,9/24/2010,0.0000
CU_0011N,9/27/2010,0.0000
CU_0011N,9/28/2010,0.0000
CU_0011N,9/29/2010,0.0000
CU_0011N,9/30/2010,0.0000
CU_0011N,10/1/2010,0.0000
CU_0011N,10/4/2010,0.0000
CU_0011N,10/5/2010,0.0000
CU_0011N,10/6/2010,0.0000
CU_0011N,10/7/2010,0.0000
CU_0011N,10/8/2010,0.0000
CU_0011N,10/11/2010,0.0000
CU_0011N,10/12/2010,0.0000
CU_0011N,10/13/2010,0.0000
CU_0011N,10/14/2010,0.0000
CU_0011N,10/15/2010,0.0000
CU_0011N,10/18/2010,0.0000
CU_0011N,10/19/2010,0.0000
CU_0011N,10/20/2010,0.0000
CU_0011N,10/21/2010,0.0000
CU_0011N,10/22/2010,0.0000
CU_0011N,10/25/2010,0.0000
CU_0011N,10/26/2010,0.0000
CU_0011N,10/27/2010,-0.0038
CU_0011N,10/28/2010,0.0060
CU_0011N,10/29/2010,-0.0011
CU_0011N,11/1/2010,-0.0003
CU_0011N,11/2/2010,0.0053
CU_0011N,11/3/2010,0.0025
CU_0011N,11/4/2010,0.0038
CU_0011N,11/5/2010,-0.0059
CU_0011N,11/8/2010,-0.0054
CU_0011N,11/9/2010,-0.0032
CU_0011N,11/10/2010,-0.0019
CU_0011N,11/11/2010,-0.0045
CU_0011N,11/12/2010,-0.0014
CU_0011N,11/15/2010,0.0000
CU_0011N,11/16/2010,0.0000
CU_0011N,11/17/2010,0.0000
CU_0011N,11/18/2010,0.0000
CU_0011N,11/19/2010,0.0000
CU_0011N,11/22/2010,0.0000
CU_0011N,11/23/2010,0.0000
CU_0011N,11/24/2010,0.0000
CU_0011N,11/26/2010,0.0000
CU_0011N,11/29/2010,0.0000
CU_0011N,11/30/2010,0.0000
CU_0011N,12/1/2010,0.0000
CU_0011N,12/2/2010,0.0000
CU_0011N,12/3/2010,0.0000
CU_0011N,12/6/2010,-0.0035
CU_0011N,12/7/2010,-0.0012
CU_0011N,12/8/2010,-0.0013
CU_0011N,12/9/2010,-0.0017
CU_0011N,12/10/2010,-0.0004
CU_0011N,12/13/2010,0.0128
CU_0011N,12/14/2010,-0.0009
CU_0011N,12/15/2010,-0.0130
CU_0011N,12/16/2010,0.0000
CU_0011N,12/17/2010,-0.0038
CU_0011N,12/20/2010,-0.0017
CU_0011N,12/21/2010,0.0000
CU_0011N,12/22/2010,0.0000
CU_0011N,12/23/2010,0.0000
CU_0011N,12/27/2010,0.0000
CU_0011N,12/28/2010,0.0000
CU_0011N,12/29/2010,0.0039
CU_0011N,12/30/2010,0.0027
CU_0011N,12/31/2010,0.0031
CU_0011N,1/3/2011,-0.0001
CU_0011N,1/4/2011,-0.0023
CU_0011N,1/5/2011,-0.0059
CU_0011N,1/6/2011,-0.0030
CU_0011N,1/7/2011,0.0000
CU_0011N,1/10/2011,0.0020
CU_0011N,1/11/2011,0.0007
CU_0011N,1/12/2011,0.0063
CU_0011N,1/13/2011,0.0083
CU_0011N,1/14/2011,0.0004
CU_0011N,1/18/2011,0.0013
CU_0011N,1/19/2011,0.0056
CU_0011N,1/20/2011,0.0010
CU_0011N,1/21/2011,0.0095
CU_0011N,1/24/2011,0.0029
CU_0011N,1/25/2011,0.0026
CU_0011N,1/26/2011,0.0009
CU_0011N,1/27/2011,0.0036
CU_0011N,1/28/2011,-0.0086
CU_0011N,1/31/2011,0.0060
CU_0011N,2/1/2011,0.0095
CU_0011N,2/2/2011,-0.0016
CU_0011N,2/3/2011,-0.0124
CU_0011N,2/4/2011,-0.0038
CU_0011N,2/7/2011,0.0002
CU_0011N,2/8/2011,0.0030
CU_0011N,2/9/2011,0.0074
CU_0011N,2/10/2011,-0.0100
CU_0011N,2/11/2011,-0.0053
CU_0011N,2/14/2011,-0.0020
CU_0011N,2/15/2011,0.0000
CU_0011N,2/16/2011,0.0000
CU_0011N,2/17/2011,0.0000
CU_0011N,2/18/2011,0.0000
CU_0011N,2/22/2011,0.0000
CU_0011N,2/23/2011,0.0000
CU_0011N,2/24/2011,0.0000
CU_0011N,2/25/2011,0.0000
CU_0011N,2/28/2011,0.0000
CU_0011N,3/1/2011,-0.0014
CU_0011N,3/2/2011,0.0033
CU_0011N,3/3/2011,0.0034
CU_0011N,3/4/2011,0.0010
CU_0011N,3/7/2011,-0.0007
CU_0011N,3/8/2011,-0.0001
CU_0011N,3/9/2011,0.0000
CU_0011N,3/10/2011,0.0000
CU_0011N,3/11/2011,0.0000
CU_0011N,3/14/2011,0.0000
CU_0011N,3/15/2011,0.0000
CU_0011N,3/16/2011,0.0000
CU_0011N,3/17/2011,0.0000
CU_0011N,3/18/2011,0.0014
CU_0011N,3/21/2011,0.0025
CU_0011N,3/22/2011,-0.0008
CU_0011N,3/23/2011,-0.0030
CU_0011N,3/24/2011,0.0022
CU_0011N,3/25/2011,-0.0041
CU_0011N,3/28/2011,0.0010
CU_0011N,3/29/2011,-0.0004
CU_0011N,3/30/2011,0.0012
CU_0011N,3/31/2011,0.0029
CU_0011N,4/1/2011,0.0013
CU_0011N,4/4/2011,-0.0007
CU_0011N,4/5/2011,0.0003
CU_0011N,4/6/2011,0.0040
CU_0011N,4/7/2011,-0.0013
CU_0011N,4/8/2011,0.0049
CU_0011N,4/11/2011,-0.0002
CU_0011N,4/12/2011,0.0021
CU_0011N,4/13/2011,-0.0017
CU_0011N,4/14/2011,0.0019
CU_0011N,4/15/2011,-0.0020
CU_0011N,4/18/2011,-0.0073
CU_0011N,4/19/2011,0.0038
CU_0011N,4/20/2011,0.0064
CU_0011N,4/21/2011,0.0021
CU_0011N,4/25/2011,0.0004
CU_0011N,4/26/2011,0.0017
CU_0011N,4/27/2011,0.0039
CU_0011N,4/28/2011,0.0029
CU_0011N,4/29/2011,0.0007
CU_0011N,5/2/2011,0.0004
CU_0011N,5/3/2011,-0.0010
CU_0011N,5/4/2011,0.0011
CU_0011N,5/5/2011,-0.0106
CU_0011N,5/6/2011,0.0000
CU_0011N,5/9/2011,0.0000
CU_0011N,5/10/2011,0.0000
CU_0011N,5/11/2011,0.0000
CU_0011N,5/12/2011,0.0000
CU_0011N,5/13/2011,0.0000
CU_0011N,5/16/2011,0.0000
CU_0011N,5/17/2011,0.0000
CU_0011N,5/18/2011,0.0000
CU_0011N,5/19/2011,0.0000
CU_0011N,5/20/2011,-0.0039
CU_0011N,5/23/2011,-0.0050
CU_0011N,5/24/2011,0.0017
CU_0011N,5/25/2011,-0.0012
CU_0011N,5/26/2011,0.0023
CU_0011N,5/27/2011,0.0046
CU_0011N,5/31/2011,0.0039
CU_0011N,6/1/2011,-0.0033
CU_0011N,6/2/2011,0.0077
CU_0011N,6/3/2011,0.0098
CU_0011N,6/6/2011,-0.0027
CU_0011N,6/7/2011,0.0074
CU_0011N,6/8/2011,-0.0079
CU_0011N,6/9/2011,-0.0048
CU_0011N,6/10/2011,-0.0108
CU_0011N,6/13/2011,0.0042
CU_0011N,6/14/2011,0.0038
CU_0011N,6/15/2011,-0.0113
CU_0011N,6/16/2011,0.0000
CU_0011N,6/17/2011,0.0000
CU_0011N,6/20/2011,0.0000
CU_0011N,6/21/2011,0.0000
CU_0011N,6/22/2011,0.0000
CU_0011N,6/23/2011,0.0000
CU_0011N,6/24/2011,-0.0034
CU_0011N,6/27/2011,0.0034
CU_0011N,6/28/2011,0.0035
CU_0011N,6/29/2011,0.0022
CU_0011N,6/30/2011,0.0033
CU_0011N,7/1/2011,-0.0004
CU_0011N,7/5/2011,-0.0034
CU_0011N,7/6/2011,-0.0088
CU_0011N,7/7/2011,0.0038
CU_0011N,7/8/2011,-0.0074
CU_0011N,7/11/2011,-0.0074
CU_0011N,7/12/2011,0.0000
CU_0011N,7/13/2011,0.0000
CU_0011N,7/14/2011,0.0000
CU_0011N,7/15/2011,0.0000
CU_0011N,7/18/2011,-0.0017
CU_0011N,7/19/2011,0.0018
CU_0011N,7/20/2011,0.0033
CU_0011N,7/21/2011,0.0067
CU_0011N,7/22/2011,-0.0016
CU_0011N,7/25/2011,0.0006
CU_0011N,7/26/2011,0.0048
CU_0011N,7/27/2011,-0.0101
CU_0011N,7/28/2011,-0.0042
CU_0011N,7/29/2011,0.0039
CU_0011N,8/1/2011,-0.0069
CU_0011N,8/2/2011,-0.0062
CU_0011N,8/3/2011,0.0042
CU_0011N,8/4/2011,-0.0063
CU_0011N,8/5/2011,0.0000
CU_0011N,8/8/2011,0.0000
CU_0011N,8/9/2011,0.0000
CU_0011N,8/10/2011,0.0000
CU_0011N,8/11/2011,0.0000
CU_0011N,8/12/2011,0.0000
CU_0011N,8/15/2011,0.0064
CU_0011N,8/16/2011,-0.0019
