Ticker Symbol,Date,Strategy 1 (days),Strategy 1 (aggregated p&l)
abc,3/1/2018,1,-1.05%
abc,3/2/2018,2,-1.07%
abc,3/5/2018,3,-0.85%
abc,3/6/2018,4,-0.47%
abc,3/7/2018,5,0.02%
abc,3/8/2018,6,0.16%
abc,3/9/2018,7,-0.49%
abc,3/12/2018,8,-0.11%
abc,3/13/2018,9,0.30%
abc,3/14/2018,10,0.80%
abc,3/15/2018,11,0.79%
abc,3/16/2018,12,0.48%
abc,3/19/2018,13,0.51%
abc,3/20/2018,14,1.31%
abc,3/21/2018,15,0.94%
abc,3/22/2018,16,1.86%
abc,3/23/2018,17,1.70%
abc,3/26/2018,18,1.95%
abc,3/27/2018,19,2.52%
abc,3/28/2018,20,1.98%
abc,3/29/2018,21,1.45%
abc,4/2/2018,22,0.96%
abc,4/3/2018,23,1.15%
abc,4/4/2018,24,1.25%
abc,4/5/2018,25,1.40%
abc,4/6/2018,26,0.86%
abc,4/9/2018,27,1.45%
abc,4/10/2018,28,1.78%
abc,4/11/2018,29,2.14%
abc,4/12/2018,30,2.06%
abc,4/13/2018,31,2.44%
abc,4/16/2018,32,2.52%
abc,4/17/2018,33,3.19%
abc,4/18/2018,34,2.85%
abc,4/19/2018,35,2.26%
abc,4/20/2018,36,1.33%
abc,4/23/2018,37,0.56%
abc,5/16/2018,1,-0.42%
abc,5/17/2018,2,-0.58%
abc,5/18/2018,3,-0.44%
abc,5/21/2018,4,-0.62%
abc,5/22/2018,5,-1.13%
abc,5/23/2018,6,-1.03%
abc,5/24/2018,7,-1.64%
abc,5/25/2018,8,-1.37%
abc,5/29/2018,9,-1.88%
abc,5/30/2018,10,-2.39%
abc,5/31/2018,11,-2.16%
abc,6/1/2018,12,-2.09%
abc,6/4/2018,13,-1.69%
abc,6/5/2018,14,-1.84%
abc,6/6/2018,15,-1.19%
abc,6/7/2018,16,-0.98%
abc,6/8/2018,17,-0.78%
abc,6/11/2018,18,-0.80%
abc,6/12/2018,19,-1.05%
abc,6/13/2018,20,-1.08%
abc,6/14/2018,21,-1.23%
